normalized_name,original_name,display_name,url_slug
an_sinh_xa_hoi,An sinh xã hội,AN SINH XÃ HỘI,an_sinh_xa_hoi
bien_viet_nam,Biển Việt Nam,BIỂN VIỆT NAM,bien_viet_nam
chinh_tri,Chính trị,CHÍNH TRỊ,chinh_tri
chung_khoan,Chứng khoán,CHỨNG KHOÁN,chung_khoan
doanh_nghiep,Doanh nghiệp,DOANH NGHIỆP,doanh_nghiep
doi_ngoai,Đối ngoại,ĐỐI NGOẠI,doi_ngoai
doi_song,Đời sống,ĐỜI SỐNG,doi_song
du_lich,Du lịch,DU LỊCH,du_lich
giao_duc,Giáo dục,GIÁO DỤC,giao_duc
hoi_nhap,Hội nhập,HỘI NHẬP,hoi_nhap
khoa_giao,Khoa giáo,KHOA GIÁO,khoa_giao
khoa_hoc_cong_nghe,Khoa học - Công nghệ,KHOA HỌC - CÔNG NGHỆ,khoa_hoc_cong_nghe
khoi_nghiep,Khởi nghiệp,KHỞI NGHIỆP,khoi_nghiep
kinh_te,Kinh tế,KINH TẾ,kinh_te
ngan_hang,Ngân hàng,NGÂN HÀNG,ngan_hang
nong_thon_moi,Nông thôn mới,NÔNG THÔN MỚI,nong_thon_moi
phap_luat,Pháp luật,PHÁP LUẬT,phap_luat
quoc_te,Quốc tế,QUỐC TẾ,quoc_te
the_thao,Thể thao,THỂ THAO,the_thao
thi_truong,Thị trường,THỊ TRƯỜNG,thi_truong
to_chuc_nhan_su,Tổ chức nhân sự,TỔ CHỨC NHÂN SỰ,to_chuc_nhan_su
van_hoa,Văn hóa,VĂN HÓA,van_hoa
viet_nam_asean,Việt Nam - ASEAN,VIỆT NAM - ASEAN,viet_nam_asean
xa_hoi,Xã hội,XÃ HỘI,xa_hoi
y_te,Y tế,Y TẾ,y_te
